區名,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
中壢,"12,142,311","9,365,310","9,881,651","10,112,105","10,194,647","10,673,148","11,459,430","11,857,186","11,556,507","11,393,925","10,676,187","11,651,458"
湖口,"30,674,728","24,028,030","13,970,242","27,849,162","24,028,878","26,383,956","28,275,631","28,119,962","26,103,213","27,439,607","25,848,160","28,826,135"
泰安,"57,867,639","39,111,038","36,692,950","43,838,474","35,789,948","39,910,722","42,984,935","42,224,415","38,121,239","40,871,110","38,394,907","43,488,274"
西螺,"55,892,071","40,136,268","36,311,581","44,385,077","37,679,577","42,886,413","45,519,108","45,873,807","39,023,047","41,849,526","37,905,407","43,871,369"
新營,"32,991,090","22,923,112","20,096,944","22,781,040","19,480,757","21,037,880","23,057,711","27,412,374","24,786,808","27,180,594","25,376,989","28,843,023"
仁德,"25,532,337","18,247,568","17,301,882","20,619,327","17,864,912","19,174,866","19,629,707","20,580,736","18,770,870","20,225,153","18,641,643","20,895,237"
關西,"64,074,652","46,641,419","40,444,510","47,073,615","39,775,414","45,312,264","50,981,275","51,861,192","43,632,270","49,260,388","45,750,019","51,746,773"
西湖,"45,527,198","30,079,491","27,017,848","33,408,280","26,241,753","30,492,578","32,662,145","33,149,356","29,151,734","32,181,909","28,729,364","32,597,144"
清水,"94,056,735","63,250,227","55,044,877","67,517,583","52,693,664","61,252,342","68,529,510","67,685,028","55,115,605","61,207,229","52,919,020","62,035,424"
南投,"39,731,515","27,574,118","22,175,327","27,040,572","21,694,378","15,125,715","16,450,618","11,116,521","13,090,953","20,668,254","19,540,421","24,124,375"
古坑,"23,189,905","15,605,519","12,322,445","16,346,332","11,290,606","13,534,517","13,166,619","12,731,469","10,813,983","25,583,173","25,258,227","29,404,118"
東山,"50,762,538","38,160,971","32,242,307","39,095,144","29,693,508","34,425,267","38,804,875","37,910,342","32,171,112","36,297,434","33,037,309","37,617,705"
關廟,"17,199,399","10,621,098","8,768,122","13,225,397","10,430,874","12,383,716","13,780,018","14,143,825","10,813,408","12,754,970","10,877,705","12,793,684"
石碇,"12,257,168","10,039,908","9,653,014","11,088,065","10,624,534","11,332,614","13,940,325","13,860,004","10,576,749","11,521,829","11,743,160","11,848,084"
蘇澳,"21,359,252","15,374,341","14,754,024","18,552,867","16,344,146","19,090,433","22,916,841","23,921,374","16,658,691","18,214,774","16,538,013","17,634,719"
