區名,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
中壢,23643770.0,22329777.0,21692977.0,21620576.0,21953085.0,22589829.0,23752206.0,24613063.0,23689217.0,22708436.0,22768238.0,24479162.0
仁德,45202702.0,42917543.0,36777958.0,40367569.0,37005046.0,40827197.0,40460939.0,42126502.0,39922813.0,39345687.0,39547975.0,43191314.0
南投,65392922.0,69559874.0,52462268.0,57039266.0,48199302.0,47058458.0,46723559.18,43157449.0,43345822.0,47623413.0,48372058.0,53989467.0
古坑,50205701.0,58753417.0,42252056.0,46019890.0,36518960.0,44382243.0,41999576.0,43905308.0,40825305.0,52670710.0,54404338.0,61178957.0
新營,60821002.0,60383605.0,48847664.0,51786607.0,46484151.0,51102233.0,52574084.0,59316358.0,53421885.0,53871327.0,53743960.0,59357799.0
東山,86231895.0,89394808.0,69903941.0,75779647.0,63238636.0,76230274.0,77727803.0,78229850.0,70246779.0,70769703.0,69323566.0,77201556.0
泰安,99519551.0,96380957.0,80286001.0,88406623.0,76337774.0,85481577.0,88931966.0,90293780.0,81219373.0,79394481.0,81145312.0,89421920.0
清水,149579203.0,149375283.0,93869497.0,106587142.0,83980773.0,96431169.0,103244705.0,102894368.0,85940533.0,88326982.0,120267739.0,167720684.0
湖口,57826296.0,58438596.0,41554425.0,55508258.0,49464533.0,55192781.0,57040148.0,58706549.0,54574064.0,53169060.0,54041834.0,59420701.0
石碇,23290813.0,23038985.0,20986574.0,20135458.0,20532694.0,22025802.0,25826525.0,26292459.0,21342035.0,21569891.0,23067101.0,24476155.0
蘇澳,38561410.0,38969118.0,31515781.0,25474410.0,23389338.0,28487947.0,32520566.0,34950722.0,26392253.0,26509390.0,26332615.0,29645946.0
西湖,75842002.0,74126354.0,47428684.0,53681728.0,42744395.0,48010869.0,58144423.0,72086346.0,66463911.0,65394417.0,62959373.0,66534327.0
西螺,98792245.0,98526570.0,82914844.0,92374628.0,81843483.0,93074194.0,96183666.0,99340799.0,86854609.0,85608100.0,83895483.0,91764634.0
關廟,29281911.0,29614311.0,21319132.0,28386160.0,22941838.0,26912724.0,28952784.0,28952683.0,24660370.0,24539210.0,22687471.0,26017538.0
關西,113308735.0,110503781.0,90936053.0,96758427.0,85101269.0,96872787.0,105692310.0,108983566.0,94566592.0,96591974.0,97107757.0,106904444.0
